Provinsi,Jenis Hutan,Bahan Baku,Kelompok Kayu Bulat,Jenis Kayu Olahan,Produk Ekspor,Volume(m3)
Sulawesi Selatan,Hutan Produksi,Kayu Alam,Kayu Indah,Veneer,Furnitur Kayu,4432.18
Sumatera Selatan,IUPHHK HTI,Kayu Perkebunan,Kayu Eboni,Veneer,Veneer,2994.95
Sumatera Utara,Hutan Lindung,Kayu Alam,Hutan Tanaman Industri,Veneer,Bangunan Prefabrikasi,2308.78
Aceh,HKM HD HTR,Limbah,Jenis Khusus,Veneer,Woodworking,380.5
Bali,IUPHHK RE,Kayu Alam,Kayu Eboni,Veneer,Furnitur Kayu,459.14
Banten,UPHHK HTR,Limbah,Rimba Campuran,Veneer,Woodworking,186.94
Daerah Istimewa Yogyakarta,HKM HD Kemitraan,Kayu Alam,Jenis Khusus,Veneer,Chipwood,197.41
Jambi,Hutan Produksi,Kayu Alam,Jenis Kayu Lainnya,Veneer,Panel,5477.62
Jawa Barat,IUPHHK HA,Kayu Alam,Jenis Khusus,Veneer,Pulp,3091.51
Jawa Tengah,UPHHK HTR,Limbah,Kayu Indah,Veneer,Paper,41676.5
Jawa Timur,IUPHHK RE,Limbah,Rimba Campuran,Veneer,Furnitur Kayu,58290.38
Kalimantan Barat,IUPHHK RE,Kayu Alam,Hutan Tanaman Industri,Veneer,Furnitur Kayu,1778.94
Kalimantan Selatan,IUPHHK HTI,Kayu Tanaman,Rimba Campuran,Veneer,Panel,2554.07
Kalimantan Tengah,Hutan Lindung,Setengah Jadi,Rimba Campuran,Veneer,Pulp,3746.16
Kalimantan Timur,IUPHHK HA,Limbah,Kayu Eboni,Veneer,Kerajinan,3956.92
Kalimantan Utara,Hutan Lindung,Kayu Tanaman,Jenis Khusus,Veneer,Chipwood,281.47
Lampung,IUPHHK HA,Kayu Alam,Jenis Khusus,Veneer,Panel,2964.65
Maluku,Hutan Lindung,Setengah Jadi,Kayu Indah,Veneer,Veneer,1223.45
Papua,HKM HD HTR,Limbah,Kayu Indah,Veneer,Chipwood,7056.91
Sulawesi Selatan,HKM HD HTR,Kayu Perkebunan,Rimba Campuran,Veneer,Panel,5309.89
Sumatera Selatan,IUPHHK HTI,Limbah,Jenis Kayu Lainnya,Veneer,Panel,2922.98
Sumatera Utara,HKM HD Kemitraan,Setengah Jadi,Rimba Campuran,Veneer,Kerajinan,2461.46
Aceh,UPHHK HTR,Kayu Tanaman,Jenis Khusus,Veneer,Panel,547.68
Bali,Hutan Produksi,Kayu Perkebunan,Jenis Kayu Lainnya,Veneer,Woodworking,140.74
Banten,UPHHK HTR,Kayu Tanaman,Kayu Indah,Veneer,Paper,170.94
Daerah Istimewa Yogyakarta,Hutan Produksi,Kayu Perkebunan,Kayu Eboni,Veneer,Panel,153.75
Jambi,Hutan Produksi,Kayu Tanaman,Jenis Khusus,Veneer,Veneer,4884.57
Jawa Barat,IUPHHK HA,Kayu Tanaman,Jenis Khusus,Veneer,Panel,4308.76
Jawa Tengah,UPHHK HTR,Kayu Tanaman,Jenis Kayu Lainnya,Veneer,Paper,43210.56
Jawa Timur,IUPHHK RE,Limbah,Jenis Khusus,Veneer,Bangunan Prefabrikasi,57950.57
Kalimantan Barat,IUPHHK HTI,Limbah,Hutan Tanaman Industri,Veneer,Paper,631.73
Kalimantan Selatan,Hutan Produksi,Setengah Jadi,Hutan Tanaman Industri,Veneer,Bangunan Prefabrikasi,2537.25
Kalimantan Tengah,HKM HD HTR,Kayu Alam,Rimba Campuran,Veneer,Veneer,4135.94
Kalimantan Timur,HKM HD HTR,Kayu Tanaman,Jenis Kayu Lainnya,Veneer,Kerajinan,1184.3
Kalimantan Utara,Hutan Lindung,Kayu Tanaman,Jenis Khusus,Veneer,Paper,302.34
Lampung,UPHHK HTR,Kayu Tanaman,Kelompok Meranti,Veneer,Furnitur Kayu,3013.48
Maluku,IUPHHK HTI,Kayu Perkebunan,Kayu Indah,Veneer,Bangunan Prefabrikasi,595.93
Papua,Hutan Lindung,Limbah,Kayu Eboni,Veneer,Panel,6343.52
Sulawesi Selatan,IUPHHK HTI,Setengah Jadi,Hutan Tanaman Industri,Veneer,Furnitur Kayu,4895.13
Sumatera Selatan,Hutan Lindung,Setengah Jadi,Jenis Kayu Lainnya,Veneer,Veneer,2324.4
Sumatera Utara,IUPHHK HA,Kayu Alam,Jenis Kayu Lainnya,Veneer,Furnitur Kayu,2629.77
Aceh,IUPHHK HA,Kayu Perkebunan,Hutan Tanaman Industri,Veneer,Kerajinan,500.26
Bali,Hutan Lindung,Setengah Jadi,Kayu Eboni,Veneer,Pulp,467.05
Banten,IUPHHK HA,Kayu Perkebunan,Kayu Indah,Veneer,Veneer,197.39
Daerah Istimewa Yogyakarta,IUPHHK HA,Limbah,Jenis Kayu Lainnya,Veneer,Kerajinan,143.63
Jambi,Hutan Produksi,Kayu Alam,Jenis Kayu Lainnya,Veneer,Bangunan Prefabrikasi,4588.55
Jawa Barat,IUPHHK HTI,Limbah,Kayu Indah,Veneer,Furnitur Kayu,3394.62
Jawa Tengah,IUPHHK HA,Kayu Perkebunan,Kelompok Meranti,Veneer,Pulp,40851.16
Jawa Timur,HKM HD Kemitraan,Kayu Alam,Kayu Indah,Veneer,Chipwood,52263.67
Kalimantan Barat,Hutan Lindung,Limbah,Jenis Kayu Lainnya,Veneer,Bangunan Prefabrikasi,934.8
Kalimantan Selatan,IUPHHK RE,Setengah Jadi,Kayu Indah,Veneer,Woodworking,3801.44
Kalimantan Tengah,IUPHHK RE,Kayu Alam,Jenis Kayu Lainnya,Veneer,Woodworking,3561.78
Kalimantan Timur,HKM HD HTR,Kayu Tanaman,Jenis Khusus,Veneer,Panel,4785.48
Kalimantan Utara,IUPHHK HTI,Kayu Tanaman,Rimba Campuran,Veneer,Veneer,226.58
Lampung,HKM HD Kemitraan,Kayu Tanaman,Kayu Indah,Veneer,Pulp,2817.33
Maluku,Hutan Lindung,Limbah,Jenis Kayu Lainnya,Veneer,Veneer,350.37
Papua,IUPHHK HA,Kayu Tanaman,Kayu Eboni,Veneer,Pulp,9267.65
Sulawesi Selatan,HKM HD HTR,Kayu Alam,Kelompok Meranti,Veneer,Panel,5113.68
Sumatera Selatan,IUPHHK HA,Setengah Jadi,Hutan Tanaman Industri,Veneer,Paper,1716.48
Sumatera Utara,HKM HD HTR,Limbah,Hutan Tanaman Industri,Veneer,Panel,1873.93
Aceh,IUPHHK HA,Kayu Alam,Kelompok Meranti,Veneer,Chipwood,466.62
Bali,Hutan Produksi,Kayu Alam,Kayu Indah,Veneer,Chipwood,363.88
Banten,IUPHHK HTI,Limbah,Kayu Indah,Veneer,Paper,150.75
Daerah Istimewa Yogyakarta,IUPHHK HTI,Limbah,Kayu Indah,Veneer,Pulp,135.69
Jambi,Hutan Produksi,Kayu Alam,Kayu Indah,Veneer,Pulp,5807.73
Jawa Barat,Hutan Lindung,Kayu Perkebunan,Kayu Indah,Veneer,Veneer,3668.61
Jawa Tengah,IUPHHK HA,Limbah,Kayu Indah,Veneer,Furnitur Kayu,41896.7
Jawa Timur,Hutan Lindung,Setengah Jadi,Hutan Tanaman Industri,Veneer,Bangunan Prefabrikasi,53138.73
Kalimantan Barat,UPHHK HTR,Limbah,Kelompok Meranti,Veneer,Kerajinan,773.43
Kalimantan Selatan,UPHHK HTR,Kayu Tanaman,Rimba Campuran,Veneer,Chipwood,4227.18
Kalimantan Tengah,HKM HD Kemitraan,Kayu Tanaman,Jenis Khusus,Veneer,Pulp,4632.13
Kalimantan Timur,IUPHHK HA,Kayu Perkebunan,Jenis Khusus,Veneer,Woodworking,5440.19
Kalimantan Utara,HKM HD HTR,Kayu Perkebunan,Rimba Campuran,Veneer,Veneer,315.88
Lampung,HKM HD HTR,Setengah Jadi,Kayu Indah,Veneer,Kerajinan,2822.06
Maluku,HKM HD HTR,Kayu Perkebunan,Kelompok Meranti,Veneer,Furnitur Kayu,576.05
Papua,IUPHHK HTI,Limbah,Jenis Kayu Lainnya,Veneer,Pulp,5467.83
Sulawesi Selatan,Hutan Lindung,Limbah,Jenis Khusus,Veneer,Furnitur Kayu,4522.16
Sumatera Selatan,HKM HD HTR,Kayu Perkebunan,Jenis Kayu Lainnya,Veneer,Pulp,2580.95
Sumatera Utara,Hutan Lindung,Kayu Alam,Kelompok Meranti,Veneer,Chipwood,2465.19
Bali,UPHHK HTR,Setengah Jadi,Kayu Eboni,Wood Pellet,Chipwood,0.0
Gorontalo,HKM HD Kemitraan,Kayu Tanaman,Rimba Campuran,Wood Pellet,Bangunan Prefabrikasi,3.4
Jawa Tengah,Hutan Produksi,Kayu Perkebunan,Kayu Eboni,Wood Pellet,Furnitur Kayu,1232.76
Jawa Timur,IUPHHK HA,Kayu Perkebunan,Rimba Campuran,Wood Pellet,Kerajinan,2724.34
Kalimantan Selatan,IUPHHK RE,Limbah,Jenis Kayu Lainnya,Wood Pellet,Chipwood,1676.15
Kalimantan Tengah,HKM HD Kemitraan,Kayu Alam,Rimba Campuran,Wood Pellet,Bangunan Prefabrikasi,824.58
Lampung,UPHHK HTR,Limbah,Kayu Eboni,Wood Pellet,Panel,958.11
Riau,IUPHHK HA,Limbah,Hutan Tanaman Industri,Wood Pellet,Furnitur Kayu,109.26
Sumatera Utara,Hutan Lindung,Setengah Jadi,Hutan Tanaman Industri,Wood Pellet,Woodworking,365.5
Bali,IUPHHK HA,Kayu Perkebunan,Hutan Tanaman Industri,Wood Pellet,Kerajinan,0.0
Gorontalo,UPHHK HTR,Limbah,Kelompok Meranti,Wood Pellet,Furnitur Kayu,35.2
Jawa Tengah,Hutan Lindung,Limbah,Hutan Tanaman Industri,Wood Pellet,Chipwood,1018.69
Jawa Timur,UPHHK HTR,Kayu Perkebunan,Kelompok Meranti,Wood Pellet,Veneer,2088.05
Kalimantan Selatan,HKM HD HTR,Kayu Perkebunan,Jenis Khusus,Wood Pellet,Kerajinan,1107.8
Kalimantan Tengah,IUPHHK RE,Kayu Tanaman,Kayu Eboni,Wood Pellet,Veneer,1831.5
Lampung,Hutan Produksi,Kayu Perkebunan,Kayu Eboni,Wood Pellet,Bangunan Prefabrikasi,767.25
Riau,HKM HD HTR,Limbah,Jenis Kayu Lainnya,Wood Pellet,Furnitur Kayu,203.16
Sumatera Utara,Hutan Produksi,Kayu Alam,Hutan Tanaman Industri,Wood Pellet,Veneer,465.8
Bali,IUPHHK HA,Setengah Jadi,Kelompok Meranti,Wood Pellet,Woodworking,0.0
Gorontalo,HKM HD Kemitraan,Kayu Alam,Hutan Tanaman Industri,Wood Pellet,Furnitur Kayu,23.23
Jawa Tengah,IUPHHK HA,Kayu Perkebunan,Jenis Kayu Lainnya,Wood Pellet,Paper,1669.31
Jawa Timur,Hutan Lindung,Limbah,Kelompok Meranti,Wood Pellet,Paper,4013.02
Kalimantan Selatan,IUPHHK RE,Kayu Tanaman,Kayu Eboni,Wood Pellet,Furnitur Kayu,1129.15
Kalimantan Tengah,HKM HD Kemitraan,Kayu Tanaman,Jenis Kayu Lainnya,Wood Pellet,Veneer,2234.7
Lampung,IUPHHK HTI,Setengah Jadi,Kayu Indah,Wood Pellet,Paper,1407.73
Riau,IUPHHK HTI,Setengah Jadi,Hutan Tanaman Industri,Wood Pellet,Pulp,148.95
Sumatera Utara,Hutan Lindung,Setengah Jadi,Jenis Khusus,Wood Pellet,Bangunan Prefabrikasi,424.15
Bali,IUPHHK HTI,Kayu Perkebunan,Jenis Khusus,Wood Pellet,Woodworking,0.0
Gorontalo,HKM HD Kemitraan,Kayu Tanaman,Kelompok Meranti,Wood Pellet,Panel,113.53
Jawa Tengah,IUPHHK RE,Limbah,Kayu Eboni,Wood Pellet,Kerajinan,1366.5
Jawa Timur,UPHHK HTR,Setengah Jadi,Hutan Tanaman Industri,Wood Pellet,Woodworking,3946.35
Kalimantan Selatan,IUPHHK HA,Limbah,Rimba Campuran,Wood Pellet,Pulp,1502.65
Kalimantan Tengah,IUPHHK HTI,Kayu Perkebunan,Kayu Eboni,Wood Pellet,Veneer,2532.76
Lampung,IUPHHK HTI,Limbah,Kelompok Meranti,Wood Pellet,Woodworking,959.84
Riau,Hutan Lindung,Limbah,Kelompok Meranti,Wood Pellet,Woodworking,103.16
Sumatera Utara,IUPHHK HA,Limbah,Jenis Khusus,Wood Pellet,Bangunan Prefabrikasi,467.5
Bali,HKM HD Kemitraan,Kayu Perkebunan,Kayu Eboni,Wood Pellet,Veneer,0.0
Gorontalo,HKM HD HTR,Kayu Perkebunan,Hutan Tanaman Industri,Wood Pellet,Furnitur Kayu,32.57
Jawa Tengah,Hutan Lindung,Setengah Jadi,Rimba Campuran,Wood Pellet,Veneer,1479.1
Jawa Timur,IUPHHK RE,Kayu Alam,Kayu Eboni,Wood Pellet,Panel,3619.6
Kalimantan Selatan,HKM HD Kemitraan,Kayu Tanaman,Hutan Tanaman Industri,Wood Pellet,Paper,1159.8
Kalimantan Tengah,Hutan Produksi,Kayu Alam,Kayu Indah,Wood Pellet,Pulp,2527.5
Lampung,IUPHHK HTI,Kayu Perkebunan,Kayu Indah,Wood Pellet,Veneer,690.32
Riau,UPHHK HTR,Kayu Tanaman,Rimba Campuran,Wood Pellet,Chipwood,121.05
Sumatera Utara,HKM HD Kemitraan,Kayu Alam,Jenis Kayu Lainnya,Wood Pellet,Furnitur Kayu,377.4
Bali,UPHHK HTR,Kayu Tanaman,Rimba Campuran,Wood Pellet,Chipwood,0.0
Gorontalo,HKM HD Kemitraan,Kayu Alam,Rimba Campuran,Wood Pellet,Bangunan Prefabrikasi,140.28
Jawa Tengah,Hutan Lindung,Limbah,Jenis Kayu Lainnya,Wood Pellet,Woodworking,1578.78
Jawa Timur,IUPHHK RE,Kayu Tanaman,Jenis Khusus,Wood Pellet,Chipwood,5101.18
Kalimantan Selatan,UPHHK HTR,Kayu Perkebunan,Kelompok Meranti,Wood Pellet,Furnitur Kayu,1395.05
Kalimantan Tengah,HKM HD HTR,Kayu Perkebunan,Rimba Campuran,Wood Pellet,Chipwood,3189.57
Lampung,HKM HD Kemitraan,Kayu Perkebunan,Kayu Eboni,Wood Pellet,Veneer,1969.92
Riau,Hutan Produksi,Setengah Jadi,Kayu Eboni,Wood Pellet,Paper,95.37
Sumatera Utara,IUPHHK HTI,Limbah,Kayu Eboni,Wood Pellet,Paper,621.35
Bali,HKM HD HTR,Kayu Alam,Rimba Campuran,Wood Pellet,Veneer,0.0
Gorontalo,UPHHK HTR,Kayu Perkebunan,Rimba Campuran,Wood Pellet,Pulp,221.23
Jawa Tengah,HKM HD Kemitraan,Setengah Jadi,Jenis Khusus,Wood Pellet,Veneer,2663.34
Jawa Timur,HKM HD HTR,Setengah Jadi,Jenis Khusus,Wood Pellet,Pulp,5087.84
Kalimantan Selatan,Hutan Produksi,Kayu Perkebunan,Hutan Tanaman Industri,Wood Pellet,Furnitur Kayu,1300.25
Kalimantan Tengah,Hutan Lindung,Kayu Perkebunan,Jenis Kayu Lainnya,Wood Pellet,Furnitur Kayu,2677.73
Lampung,IUPHHK HTI,Kayu Perkebunan,Hutan Tanaman Industri,Wood Pellet,Pulp,934.87
Riau,IUPHHK RE,Limbah,Kayu Indah,Wood Pellet,Bangunan Prefabrikasi,111.58
Sumatera Utara,Hutan Lindung,Limbah,Jenis Khusus,Wood Pellet,Pulp,709.75
Bali,HKM HD Kemitraan,Kayu Perkebunan,Jenis Khusus,Wood Pellet,Veneer,0.0
Gorontalo,IUPHHK HTI,Kayu Tanaman,Kayu Indah,Wood Pellet,Chipwood,355.11
Jawa Tengah,HKM HD Kemitraan,Kayu Perkebunan,Hutan Tanaman Industri,Wood Pellet,Furnitur Kayu,2273.43
Jawa Timur,IUPHHK HA,Kayu Alam,Rimba Campuran,Wood Pellet,Panel,5371.9
Kalimantan Selatan,HKM HD HTR,Kayu Tanaman,Kayu Indah,Wood Pellet,Panel,826.15
Kalimantan Tengah,HKM HD Kemitraan,Limbah,Kayu Indah,Wood Pellet,Veneer,2842.13
Lampung,HKM HD Kemitraan,Kayu Alam,Kayu Indah,Wood Pellet,Veneer,645.57
Riau,HKM HD Kemitraan,Limbah,Hutan Tanaman Industri,Wood Pellet,Panel,102.11
Sumatera Utara,IUPHHK HTI,Setengah Jadi,Jenis Kayu Lainnya,Wood Pellet,Woodworking,408.0
Bali,IUPHHK HTI,Setengah Jadi,Rimba Campuran,Wood Pellet,Pulp,0.0
Gorontalo,Hutan Produksi,Kayu Alam,Jenis Khusus,Wood Pellet,Veneer,217.92
Jawa Tengah,HKM HD Kemitraan,Setengah Jadi,Rimba Campuran,Wood Pellet,Furnitur Kayu,1872.79
Jawa Timur,HKM HD Kemitraan,Limbah,Jenis Kayu Lainnya,Wood Pellet,Paper,5981.56
Kalimantan Selatan,IUPHHK RE,Kayu Perkebunan,Kayu Indah,Wood Pellet,Furnitur Kayu,1293.3
Kalimantan Tengah,Hutan Lindung,Limbah,Kelompok Meranti,Wood Pellet,Paper,2558.59
Lampung,IUPHHK RE,Kayu Perkebunan,Kelompok Meranti,Wood Pellet,Panel,191.21
Riau,IUPHHK HA,Kayu Tanaman,Kayu Eboni,Wood Pellet,Kerajinan,69.05
Sumatera Utara,IUPHHK HA,Limbah,Kelompok Meranti,Wood Pellet,Paper,414.8
Bali,Hutan Lindung,Limbah,Jenis Kayu Lainnya,Wood Pellet,Bangunan Prefabrikasi,0.0
Gorontalo,Hutan Lindung,Kayu Tanaman,Kayu Indah,Wood Pellet,Pulp,170.96
Jawa Tengah,IUPHHK HA,Setengah Jadi,Jenis Kayu Lainnya,Wood Pellet,Woodworking,1633.49
Jawa Timur,Hutan Lindung,Kayu Perkebunan,Kayu Eboni,Wood Pellet,Bangunan Prefabrikasi,5654.53
Kalimantan Selatan,HKM HD HTR,Kayu Perkebunan,Jenis Khusus,Wood Pellet,Pulp,1184.3
Kalimantan Tengah,HKM HD HTR,Setengah Jadi,Hutan Tanaman Industri,Wood Pellet,Bangunan Prefabrikasi,2996.54
Lampung,HKM HD HTR,Setengah Jadi,Kayu Eboni,Wood Pellet,Furnitur Kayu,503.75
Riau,UPHHK HTR,Kayu Perkebunan,Jenis Kayu Lainnya,Wood Pellet,Bangunan Prefabrikasi,187.37
Sumatera Utara,IUPHHK RE,Setengah Jadi,Kelompok Meranti,Wood Pellet,Pulp,539.75
Bali,HKM HD Kemitraan,Limbah,Kayu Indah,Wood Pellet,Furnitur Kayu,21.6
Gorontalo,HKM HD Kemitraan,Kayu Perkebunan,Kayu Eboni,Wood Pellet,Paper,211.65
Jawa Tengah,IUPHHK HTI,Kayu Perkebunan,Hutan Tanaman Industri,Wood Pellet,Furnitur Kayu,1149.89
Jawa Timur,Hutan Lindung,Setengah Jadi,Rimba Campuran,Wood Pellet,Kerajinan,6698.6
Kalimantan Selatan,IUPHHK HTI,Kayu Alam,Jenis Kayu Lainnya,Wood Pellet,Veneer,1168.7
Kalimantan Tengah,HKM HD HTR,Setengah Jadi,Kelompok Meranti,Wood Pellet,Pulp,2245.68
Lampung,UPHHK HTR,Setengah Jadi,Jenis Kayu Lainnya,Wood Pellet,Woodworking,1094.29
Riau,IUPHHK HTI,Kayu Tanaman,Kayu Eboni,Wood Pellet,Veneer,163.16
Sumatera Utara,HKM HD Kemitraan,Limbah,Rimba Campuran,Wood Pellet,Kerajinan,1184.9
Bali,IUPHHK HTI,Setengah Jadi,Kayu Indah,Wood Pellet,Panel,31.8
Gorontalo,Hutan Lindung,Limbah,Jenis Kayu Lainnya,Wood Pellet,Pulp,94.35
Jawa Tengah,HKM HD Kemitraan,Kayu Perkebunan,Hutan Tanaman Industri,Wood Pellet,Woodworking,1048.67
Jawa Timur,Hutan Produksi,Setengah Jadi,Jenis Kayu Lainnya,Wood Pellet,Veneer,6995.4
Kalimantan Selatan,UPHHK HTR,Kayu Tanaman,Hutan Tanaman Industri,Wood Pellet,Kerajinan,936.25
Kalimantan Tengah,IUPHHK HTI,Kayu Tanaman,Hutan Tanaman Industri,Wood Pellet,Woodworking,2615.33
Lampung,IUPHHK HA,Setengah Jadi,Jenis Kayu Lainnya,Wood Pellet,Chipwood,0.0
Riau,IUPHHK RE,Kayu Alam,Kayu Eboni,Wood Pellet,Furnitur Kayu,132.63
Sumatera Utara,IUPHHK HTI,Limbah,Hutan Tanaman Industri,Wood Pellet,Chipwood,1051.45
Daerah Istimewa Yogyakarta,HKM HD HTR,Kayu Tanaman,Hutan Tanaman Industri,Bare Core,Bangunan Prefabrikasi,0.0
Jawa Barat,Hutan Produksi,Limbah,Hutan Tanaman Industri,Bare Core,Woodworking,304.49
Jawa Tengah,IUPHHK RE,Kayu Tanaman,Jenis Kayu Lainnya,Bare Core,Kerajinan,5471.58
Jawa Timur,IUPHHK HA,Kayu Alam,Kelompok Meranti,Bare Core,Bangunan Prefabrikasi,7157.86
Kalimantan Barat,Hutan Produksi,Setengah Jadi,Kelompok Meranti,Bare Core,Bangunan Prefabrikasi,59.07
Kalimantan Selatan,HKM HD HTR,Setengah Jadi,Jenis Kayu Lainnya,Bare Core,Pulp,240.06
Daerah Istimewa Yogyakarta,UPHHK HTR,Kayu Alam,Hutan Tanaman Industri,Bare Core,Paper,46.12
Jawa Barat,HKM HD Kemitraan,Kayu Alam,Kayu Indah,Bare Core,Chipwood,293.42
Jawa Tengah,Hutan Lindung,Limbah,Jenis Khusus,Bare Core,Bangunan Prefabrikasi,4193.39
Jawa Timur,HKM HD HTR,Limbah,Kayu Eboni,Bare Core,Veneer,6916.52
Kalimantan Barat,IUPHHK RE,Kayu Tanaman,Jenis Khusus,Bare Core,Panel,79.19
Kalimantan Selatan,IUPHHK HA,Kayu Alam,Jenis Khusus,Bare Core,Furnitur Kayu,221.96
Daerah Istimewa Yogyakarta,IUPHHK RE,Kayu Perkebunan,Jenis Khusus,Bare Core,Veneer,1115.79
Jawa Barat,HKM HD Kemitraan,Limbah,Rimba Campuran,Bare Core,Bangunan Prefabrikasi,148.22
Jawa Tengah,IUPHHK HA,Kayu Perkebunan,Kayu Eboni,Bare Core,Paper,6055.49
Jawa Timur,HKM HD Kemitraan,Kayu Alam,Hutan Tanaman Industri,Bare Core,Panel,6573.13
Kalimantan Barat,HKM HD Kemitraan,Setengah Jadi,Rimba Campuran,Bare Core,Furnitur Kayu,62.56
Kalimantan Selatan,IUPHHK HA,Limbah,Rimba Campuran,Bare Core,Panel,323.43
Daerah Istimewa Yogyakarta,Hutan Lindung,Limbah,Jenis Kayu Lainnya,Bare Core,Kerajinan,1570.11
Jawa Barat,Hutan Produksi,Kayu Tanaman,Jenis Khusus,Bare Core,Panel,131.29
Jawa Tengah,Hutan Lindung,Kayu Tanaman,Kayu Indah,Bare Core,Panel,5969.55
Jawa Timur,IUPHHK HA,Kayu Alam,Hutan Tanaman Industri,Bare Core,Panel,7337.21
Kalimantan Barat,HKM HD Kemitraan,Setengah Jadi,Kayu Indah,Bare Core,Panel,0.0
Kalimantan Selatan,IUPHHK HA,Setengah Jadi,Hutan Tanaman Industri,Bare Core,Pulp,161.71
Daerah Istimewa Yogyakarta,IUPHHK HA,Kayu Perkebunan,Kayu Eboni,Bare Core,Kerajinan,966.42
Jawa Barat,IUPHHK RE,Limbah,Kelompok Meranti,Bare Core,Kerajinan,0.0
Jawa Tengah,IUPHHK RE,Kayu Alam,Hutan Tanaman Industri,Bare Core,Woodworking,5165.87
Jawa Timur,IUPHHK RE,Limbah,Jenis Kayu Lainnya,Bare Core,Woodworking,3695.37
Kalimantan Barat,IUPHHK HTI,Setengah Jadi,Jenis Khusus,Bare Core,Furnitur Kayu,302.56
Kalimantan Selatan,IUPHHK RE,Kayu Perkebunan,Jenis Kayu Lainnya,Bare Core,Furnitur Kayu,123.66
Daerah Istimewa Yogyakarta,HKM HD HTR,Setengah Jadi,Kayu Indah,Bare Core,Veneer,135.44
Jawa Barat,Hutan Produksi,Kayu Alam,Jenis Kayu Lainnya,Bare Core,Furnitur Kayu,218.64
Jawa Tengah,UPHHK HTR,Kayu Alam,Hutan Tanaman Industri,Bare Core,Bangunan Prefabrikasi,8028.62
Jawa Timur,HKM HD HTR,Limbah,Kelompok Meranti,Bare Core,Veneer,5925.78
Kalimantan Barat,HKM HD HTR,Kayu Tanaman,Jenis Kayu Lainnya,Bare Core,Paper,0.0
Kalimantan Selatan,HKM HD HTR,Setengah Jadi,Kelompok Meranti,Bare Core,Pulp,250.47
Daerah Istimewa Yogyakarta,Hutan Produksi,Kayu Tanaman,Kelompok Meranti,Bare Core,Bangunan Prefabrikasi,1142.88
Jawa Barat,Hutan Produksi,Kayu Alam,Hutan Tanaman Industri,Bare Core,Veneer,226.42
Jawa Tengah,HKM HD HTR,Setengah Jadi,Kayu Eboni,Bare Core,Veneer,4952.2
Jawa Timur,Hutan Lindung,Kayu Perkebunan,Kelompok Meranti,Bare Core,Panel,5526.77
Kalimantan Barat,Hutan Produksi,Limbah,Kelompok Meranti,Bare Core,Veneer,0.0
Kalimantan Selatan,UPHHK HTR,Kayu Tanaman,Hutan Tanaman Industri,Bare Core,Panel,263.18
Daerah Istimewa Yogyakarta,IUPHHK HTI,Limbah,Jenis Kayu Lainnya,Bare Core,Veneer,745.87
Jawa Barat,Hutan Lindung,Kayu Alam,Hutan Tanaman Industri,Bare Core,Veneer,156.26
Jawa Tengah,Hutan Produksi,Kayu Perkebunan,Kelompok Meranti,Bare Core,Paper,4864.6
Jawa Timur,IUPHHK HTI,Kayu Alam,Jenis Kayu Lainnya,Bare Core,Paper,5608.43
Kalimantan Barat,HKM HD Kemitraan,Kayu Alam,Kelompok Meranti,Bare Core,Chipwood,0.0
Kalimantan Selatan,Hutan Lindung,Kayu Tanaman,Jenis Khusus,Bare Core,Veneer,174.4
Daerah Istimewa Yogyakarta,IUPHHK HTI,Kayu Tanaman,Kayu Eboni,Bare Core,Panel,832.48
Jawa Barat,Hutan Produksi,Setengah Jadi,Jenis Kayu Lainnya,Bare Core,Veneer,155.37
Jawa Tengah,Hutan Produksi,Setengah Jadi,Kelompok Meranti,Bare Core,Veneer,6671.59
Jawa Timur,UPHHK HTR,Kayu Alam,Kayu Eboni,Bare Core,Bangunan Prefabrikasi,6603.37
Kalimantan Barat,IUPHHK HA,Kayu Tanaman,Kelompok Meranti,Bare Core,Woodworking,108.5
Kalimantan Selatan,HKM HD HTR,Kayu Tanaman,Jenis Khusus,Bare Core,Bangunan Prefabrikasi,196.59
Daerah Istimewa Yogyakarta,UPHHK HTR,Setengah Jadi,Kayu Indah,Bare Core,Veneer,488.84
Jawa Barat,IUPHHK HA,Kayu Perkebunan,Kayu Indah,Bare Core,Woodworking,99.49
Jawa Tengah,HKM HD Kemitraan,Kayu Tanaman,Jenis Kayu Lainnya,Bare Core,Paper,5594.05
Jawa Timur,Hutan Lindung,Kayu Alam,Kayu Indah,Bare Core,Panel,7412.27
Kalimantan Barat,HKM HD Kemitraan,Kayu Tanaman,Kelompok Meranti,Bare Core,Veneer,0.0
Kalimantan Selatan,Hutan Lindung,Kayu Perkebunan,Jenis Kayu Lainnya,Bare Core,Panel,263.18
Daerah Istimewa Yogyakarta,HKM HD Kemitraan,Limbah,Kayu Eboni,Bare Core,Woodworking,1227.75
Jawa Barat,IUPHHK HA,Kayu Alam,Jenis Kayu Lainnya,Bare Core,Pulp,154.06
Jawa Tengah,Hutan Produksi,Setengah Jadi,Rimba Campuran,Bare Core,Furnitur Kayu,6163.26
Jawa Timur,Hutan Lindung,Kayu Alam,Kayu Eboni,Bare Core,Furnitur Kayu,6423.0
Kalimantan Barat,Hutan Lindung,Limbah,Hutan Tanaman Industri,Bare Core,Veneer,0.0
Kalimantan Selatan,HKM HD Kemitraan,Kayu Alam,Rimba Campuran,Bare Core,Panel,252.18
